Yuan Dean Scientific Co., LTD
DC-DC CONVERTER  ATE Product Test  Type: 01D-3R3-1C-(NA052)
輸出組別 : 1OUT
客戶名稱: 達運
批號: YS11-17110027
預測數量:  1000 
輸入低電壓  :  4.75  V  
輸入正常電壓 :  24  V  
輸入高電壓  :  36  V  
測試負載  滿載 :  1  Amp輕載 :  0.1  Amp
交越測試  負載_F :  100  Amp  負載_N  :  1  Amp
記錄日期 2018/1/2 
記錄項目  ,  , 空載輸入電流_L  ,空載輸入電流_N   ,空載輸入電流_H  ,空載輸入功率_L  ,空載輸入功率_N   ,空載輸入功率_H   ,空載輸出電壓 CH1_L  ,空載輸出電壓 CH1_N   ,空載輸出電壓 CH1_H  ,空載輸出電壓 CH2_L  ,空載輸出電壓 CH2_N   ,空載輸出電壓 CH2_H   ,空載漣波雜訊CH1_L  ,空載漣波雜訊CH1_N   , 空載漣波雜訊 CH1_H  ,空載漣波雜訊CH2_L  ,空載漣波雜訊 CH2_N   ,空載漣波雜訊CH2_H   ,滿載輸入電流_L  ,滿載輸入電流_N   ,滿載輸入電流_H  ,滿載輸入功率_L  ,滿載輸入功率_N   ,滿載輸入功率_H   , 滿載輸出電壓 CH1_L  ,滿載輸出電壓 CH1_N   , 滿載輸出電壓 CH1_H  ,滿載輸出電壓 CH2_L  ,滿載輸出電壓 CH2_N   ,滿載輸出電壓 CH2_H   ,滿載漣波雜訊CH1_L  ,滿載漣波雜訊CH1_N   , 滿載漣波雜訊 CH1_H  ,滿載漣波雜訊CH2_L  ,滿載漣波雜訊 CH2_N   ,滿載漣波雜訊CH2_H   ,滿載效率_L  ,滿載效率_N  ,滿載效率_H  ,輸入電壓變動穩壓率 CH1   ,輸入電壓變動穩壓率 CH2  ,輸出負載變動穩壓率CH1_L  ,輸出負載變動穩壓率CH1_N  ,輸出負載變動穩壓率CH1_H  ,輸出負載變動穩壓率CH2_L  ,輸出負載變動穩壓率CH2_N  ,輸出負載變動穩壓率CH2_H   ,短路保護測試_L  ,短路保護測試_N   ,短路保護測試_H  ,過電流保護測試_L  ,過電流保護測試_N   ,過電流保護測試_H   ,遠端控制關機測試  ,輸出電壓整理微調正緣   ,輸出電壓整理微調負緣  ,遞減遠端控制關機測試_L  ,遞減遠端控制關機測試_N   ,遞減遠端控制關機測試_H  ,過電壓保護_L  ,過電壓保護_N   ,過電壓保護_H    ,遞減欠壓鎖定_L  ,遞增過電流保護_L  ,遞增過電流保護_N  ,遞增過電流保護_H , 遞增遠端控制開機測試_L  ,遞增遠端控制開機測試_N  ,遞增遠端控制開機測試_H  ,交越負載CH1_L  ,交越負載CH1_N  ,交越負載CH1_H  ,交越負載CH2_L  ,交越負載CH2_N  ,交越負載CH2_H  ,日期 ,時間 
  ,規格下限,0_mA  ,0_mA  ,0_mA  ,0_W  ,0_W ,0_W , 3.234  _V , 3.234 _V  , 3.234 _V  , 3.234 _V  , 3.234 _V  , 3.234 _V  ,0_p-pmV ,0_p-pmV ,0_p-pmV ,0_p-pmV ,0_p-pmV ,0_p-pmV , 50 _mA  , 50 _mA  , 50 _mA  , 1  _W , 1 _W  , 1 _W  , 3.234 _V  , 3.234 _V  , 3.234 _V  , 3.234 _V  , 3.234 _V  , 3.234 _V  ,0_p-pmV ,0_p-pmV ,0_p-pmV ,0_p-pmV ,0_p-pmV ,0_p-pmV ,0_%  ,0_%  ,0_%  ,-0.3 _%  , -0.3 _%  ,-0.4 _%  ,-0.4 _%  ,-0.4 _%  ,-0.4 _%  ,-0.4 _%  ,-0.4 _%  ,LOAD ,LOAD  ,LOAD,  1.5 _A  , 1.5 _A  , 1.5 _A  ,Relay_Low ,  0 _V  , 0 _V ,St  1 _V  ,St  1 _V  ,St  1 _V  ,SwitchPower  , SwitchPower  , SwitchPower  ,St  4.75 _V ,St  1 _A,St  1 _A ,St  1 _A ,St  0.1 _V ,St  0.1 _V ,St  0.1 _V ,-1 _% ,-1 _% ,-1 _% ,-1 _% ,-1 _% ,-1 _% ,
No. ,規格上限,< 50 _mA  , < 50 _mA  ,< 50 _mA  ,< 2 _W  ,< 2 _W ,< 2 _W , 3.366  _V , 3.366 _V  , 3.366 _V  , 3.366 _V  , 3.366 _V  , 3.366 _V  ,< 50 _p-pmV ,< 50 _p-pmV ,< 50 _p-pmV ,< 50 _p-pmV ,< 50 _p-pmV ,< 50 _p-pmV , 1000 _mA  , 1000 _mA  , 1000 _mA  , 10  _W , 10 _W  , 10 _W  , 3.366 _V  , 3.366 _V  , 3.366 _V  , 3.366 _V  , 3.366 _V  , 3.366 _V  ,< 50 _p-pmV ,< 50 _p-pmV ,< 50 _p-pmV ,< 50 _p-pmV ,< 50 _p-pmV ,< 50 _p-pmV ,> 79 _%  ,> 79 _%  ,> 79 _%  , 0.3 _%  , 0.3 _%  , 0.4 _%  , 0.4 _%  , 0.4 _%  , 0.4 _%  , 0.4 _%  , 0.4 _%  ,< 500  _ mA,< 500  _ mA,< 500  _ mA,< 3.234 _V   ,< 3.234 _V   ,< 3.234 _V   ,< 1 _V  , 0 _V  , 0 _V , < End  0.1 _V  ,< End  0.1 _V  ,< End  0.1 _V  ,< 0.1 _V  ,< 0.1 _V  ,< 0.1 _V  ,< 1 _V ,< End  10 _A ,< End  10 _A ,< End  10 _A ,> End  3 _V ,> End  3 _V ,> End  3 _V , 1 _% , 1 _% , 1 _% , 1 _% , 1 _% , 1 _% ,
 425 ,ABORT ,  1.218  , 0  , 0  , 0.006  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 08:13:01 
 426 ,ABORT ,  1.202  , 0  , 0  , 0.006  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 08:13:16 
 427 ,ABORT ,  1.25  , 0  , 0  , 0.006  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 08:13:32 
 428 ,ABORT ,  1.207  , 0  , 0  , 0.006  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 08:13:46 
 429 ,PASS ,  1.327  , 0  , 0.917  , 0.006  , 0  , 0.033  , 3.336  , 0  , 3.336  , 0  , 0  , 0  , 0.8  , 0  , 0.8  , 0  , 0  , 0  , 769.913  , 0  , 112.773  , 3.658  , 0  , 4.056  , 3.318  , 3.313  , 3.313  , 0  , 0  , 0  , 1.6  , 0  , 1.6  , 0  , 0  , 0  , 90.59595  , 0  , 81.60749  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 380.888  , 0  , 52.432  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 08:23:43 
 430 ,PASS ,  1.346  , 0  , 0.93  , 0.006  , 0  , 0.033  , 3.318  , 0  , 3.318  , 0  , 0  , 0  , 6.4  , 0  , 11.2  , 0  , 0  , 0  , 767.232  , 0  , 112.29  , 3.643  , 0  , 4.039  , 3.3  , 3.299  , 3.298  , 0  , 0  , 0  , 17.6  , 0  , 19.2  , 0  , 0  , 0  , 90.36509  , 0  , 81.62911  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 367.589  , 0  , 53.592  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 08:27:23 
 431 ,PASS ,  1.407  , 0  , 0.936  , 0.007  , 0  , 0.034  , 3.358  , 0  , 3.358  , 0  , 0  , 0  , 6.4  , 0  , 10.4  , 0  , 0  , 0  , 774.483  , 0  , 113.419  , 3.677  , 0  , 4.08  , 3.34  , 3.335  , 3.336  , 0  , 0  , 0  , 17.6  , 0  , 18.4  , 0  , 0  , 0  , 90.48137  , 0  , 81.61765  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 387.577  , 0  , 56.143  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 08:27:51 
 432 ,PASS ,  1.383  , 0  , 0.939  , 0.007  , 0  , 0.032  , 3.321  , 0  , 3.321  , 0  , 0  , 0  , 6.4  , 0  , 11.2  , 0  , 0  , 0  , 767.576  , 0  , 112.435  , 3.645  , 0  , 4.045  , 3.303  , 3.3  , 3.299  , 0  , 0  , 0  , 18.4  , 0  , 18.4  , 0  , 0  , 0  , 90.15089  , 0  , 81.31026  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 383.023  , 0  , 54.128  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  ,2018/1/2 ,上午 08:28:22 
